oil_gas,district,lease_no,gas_mcf_d,oil_bbl_d,window,months_present
G,10,299699,2.96,0.0,202512-202605,6
G,10,186411,16.37,0.01,202512-202605,6
G,10,270947,0.0,0.0,202512-202605,6
G,10,119081,37.54,0.21,202512-202605,6
G,10,128331,0.0,0.0,202512-202605,6
G,10,141520,0.0,0.0,202512-202605,6
G,10,019686,0.0,0.0,202512-202605,6
G,10,020649,3.1,0.0,202512-202605,6
G,10,020652,27.29,0.0,202512-202605,6
G,10,066068,0.0,0.0,202512-202605,6
G,10,072031,0.0,0.0,202512-202605,6
G,10,020612,0.0,0.0,202512-202605,6
G,10,020635,0.0,0.0,202512-202605,6
G,10,020638,0.09,0.0,202512-202605,6
G,10,020647,18.46,0.0,202512-202605,6
G,10,069441,0.0,0.0,202512-202605,6
G,10,151088,0.0,0.0,202512-202605,6
G,10,185909,0.0,0.0,202512-202605,6
G,10,186740,0.0,0.84,202512-202605,6
G,10,256886,0.0,0.0,202512-202605,6
G,10,276929,91.93,4.47,202512-202605,6
G,10,281395,9.87,8.45,202512-202605,6
G,10,282880,62.35,11.75,202512-202605,6
G,10,283232,52.12,19.08,202512-202605,6
G,10,286684,207.24,19.47,202512-202605,6
G,10,287007,20.75,3.31,202512-202605,6
G,10,288374,484.14,31.3,202512-202605,6
G,10,288555,299.19,45.95,202512-202605,6
G,10,289011,324.08,53.27,202512-202605,6
G,10,289014,0.0,0.0,202512-202605,6
G,10,289694,146.81,10.74,202512-202605,6
G,10,020615,1.99,0.0,202512-202605,6
G,10,054172,0.0,0.0,202512-202605,6
G,10,066463,0.0,0.0,202512-202605,6
G,10,271805,160.17,4.11,202512-202605,6
G,10,279344,75.27,16.1,202512-202605,6
G,10,282064,143.61,25.18,202512-202605,6
G,10,284043,0.0,0.0,202512-202605,6
G,10,286298,60.58,3.57,202512-202605,6
G,10,286459,329.66,17.41,202512-202605,6
G,10,287906,0.11,0.01,202512-202605,6
G,10,289202,752.12,45.48,202512-202605,6
G,10,289696,340.31,7.7,202512-202605,6
G,10,289892,0.0,0.0,202512-202605,6
G,10,290261,409.41,31.13,202512-202605,6
G,10,290313,0.0,0.0,202512-202605,6
G,10,290331,510.22,31.47,202512-202605,6
G,10,290403,270.36,7.81,202512-202605,6
G,09,085946,31.35,0.0,202512-202605,6
G,09,092165,3.9,0.0,202512-202605,6
G,10,069912,0.0,0.0,202512-202605,6
G,10,277213,115.97,23.24,202512-202605,6
G,10,277458,67.78,13.42,202512-202605,6
G,10,277583,237.37,17.05,202512-202605,6
G,10,278881,251.18,35.01,202512-202605,6
G,10,278910,0.0,0.0,202512-202605,6
G,10,281881,0.0,0.0,202512-202605,6
G,10,283260,181.52,20.08,202512-202605,6
G,10,283330,0.0,0.0,202512-202605,6
G,10,283923,96.78,2.85,202512-202605,6
G,10,284094,0.0,0.0,202512-202605,6
G,10,285015,120.01,17.83,202512-202605,6
G,10,289911,691.08,17.45,202512-202605,6
G,10,290110,141.63,24.41,202512-202605,6
G,10,290125,344.5,52.68,202512-202605,6
G,10,290392,57.51,2.09,202512-202605,6
G,10,290526,558.79,58.65,202512-202605,6
G,10,290586,315.61,27.98,202512-202605,6
G,10,290687,0.0,0.0,202512-202605,6
G,10,291363,467.49,35.17,202512-202605,6
G,10,291681,248.66,20.39,202512-202605,6
G,10,291750,343.32,37.77,202512-202605,6
G,10,292843,695.59,56.63,202512-202605,6
G,10,292940,983.41,50.9,202512-202605,6
G,10,293275,502.08,40.14,202512-202605,6
G,10,020616,16.06,0.0,202512-202605,6
G,10,103947,0.0,0.0,202512-202605,6
G,10,179120,0.14,0.0,202512-202605,6
G,10,075056,0.0,0.0,202512-202605,6
G,10,273044,267.35,16.66,202512-202605,6
G,10,278121,43.19,26.26,202512-202605,6
G,10,278914,232.58,20.66,202512-202605,6
G,10,281608,170.18,32.63,202512-202605,6
G,10,281840,35.36,17.18,202512-202605,6
G,10,139659,6.34,0.15,202512-202605,6
G,09,099610,17.42,0.0,202512-202605,6
G,10,072033,0.0,0.0,202512-202605,6
G,10,274211,102.02,1.71,202512-202605,6
G,10,277812,78.43,13.47,202512-202605,6
G,10,278234,122.16,14.1,202512-202605,6
G,10,278442,0.0,0.0,202512-202605,6
G,10,281238,222.74,31.69,202512-202605,6
G,10,282003,141.33,16.13,202512-202605,6
G,10,282009,276.19,29.91,202512-202605,6
G,10,282114,190.84,28.21,202512-202605,6
G,10,282290,172.6,12.86,202512-202605,6
G,10,282849,72.02,2.42,202512-202605,6
G,10,020634,0.0,0.0,202512-202605,6
G,10,048042,0.0,0.36,202512-202605,6
G,10,270731,489.9,13.51,202512-202605,6
G,10,276286,0.0,0.0,202512-202605,6
G,10,277813,195.6,20.07,202512-202605,6
G,10,278123,0.0,0.0,202512-202605,6
G,10,278236,239.78,32.33,202512-202605,6
G,10,283361,72.89,2.99,202512-202605,6
G,10,283439,280.21,8.73,202512-202605,6
G,10,283746,148.67,7.57,202512-202605,6
G,10,284281,339.96,14.08,202512-202605,6
G,10,285038,30.85,17.88,202512-202605,6
G,10,285797,339.33,13.61,202512-202605,6
G,10,292067,264.16,9.04,202512-202605,6
G,10,292103,549.59,26.08,202512-202605,6
G,10,292302,261.13,24.12,202512-202605,6
G,10,292826,555.62,76.97,202512-202605,6
G,10,292827,133.91,19.73,202512-202605,6
G,10,293047,64.46,20.82,202512-202605,6
G,10,294256,0.0,0.0,202512-202605,6
G,10,294860,143.59,18.42,202512-202605,6
G,10,295234,225.68,46.02,202512-202605,6
G,10,295235,393.43,45.19,202512-202605,6
G,10,295305,560.86,39.52,202512-202605,6
G,10,295704,669.8,70.21,202512-202605,6
G,10,296231,0.0,0.0,202512-202605,6
G,10,296566,222.9,13.93,202512-202605,6
G,10,285017,407.72,55.78,202512-202605,6
G,10,285118,130.85,19.58,202512-202605,6
G,10,285125,195.88,29.28,202512-202605,6
G,10,285407,0.0,0.0,202512-202605,6
G,10,286547,391.53,61.85,202512-202605,6
G,10,286683,150.24,28.55,202512-202605,6
G,10,288526,0.0,0.0,202512-202605,6
G,10,289016,0.0,0.0,202512-202605,6
G,10,289689,151.49,22.15,202512-202605,6
G,10,289710,0.0,0.0,202512-202605,6
G,10,289923,0.0,0.0,202512-202605,6
G,10,290328,80.97,10.2,202512-202605,6
G,10,290430,157.87,10.69,202512-202605,6
G,10,290542,578.09,44.58,202512-202605,6
G,10,293410,354.31,40.03,202512-202605,6
G,10,295838,563.66,54.93,202512-202605,6
G,10,295850,590.53,45.49,202512-202605,6
G,10,296262,567.59,70.27,202512-202605,6
G,10,296267,532.74,61.3,202512-202605,6
G,10,296567,798.04,118.52,202512-202605,6
G,10,296814,450.25,36.41,202512-202605,6
G,10,297341,376.58,69.2,202512-202605,6
G,10,297604,1429.95,168.49,202512-202605,6
G,10,297610,978.86,80.51,202512-202605,6
G,10,297849,369.83,22.72,202512-202605,6
G,10,297889,810.21,92.26,202512-202605,6
G,10,298159,1169.17,113.52,202512-202605,6
G,10,298198,1155.99,34.24,202512-202605,6
G,10,282289,114.62,13.76,202512-202605,6
G,10,282799,135.71,1.44,202512-202605,6
G,10,283551,43.79,9.38,202512-202605,6
G,10,283694,127.09,12.21,202512-202605,6
G,10,283928,48.89,8.34,202512-202605,6
G,10,284134,162.14,11.9,202512-202605,6
G,10,285516,272.69,24.01,202512-202605,6
G,10,286425,375.88,12.33,202512-202605,6
G,10,286649,163.61,26.96,202512-202605,6
G,10,287636,174.57,2.45,202512-202605,6
G,10,288270,281.46,38.0,202512-202605,6
G,10,289015,0.0,0.0,202512-202605,6
G,10,289236,290.57,20.05,202512-202605,6
G,10,283277,115.59,16.73,202512-202605,6
G,10,283720,410.45,17.98,202512-202605,6
G,10,284595,74.67,6.99,202512-202605,6
G,10,285012,334.16,32.68,202512-202605,6
