api8,gas_mcf_d,oil_bbl_d
47500512,4.58,0.0
47503232,0.0,0.0
47504124,0.0,0.0
47504141,0.0,0.0
47504120,0.0,0.0
47504135,21.21,0.0
47504133,0.0,0.0
47504142,11.94,0.52
47500640,0.0,0.0
47503184,0.0,0.0
47510461,0.0,0.0
47580001,0.0,0.0
47502578,0.0,0.0
47510589,5.94,0.0
47504339,0.0,0.0
47504824,0.0,0.0
47510097,0.0,0.0
47510593,6.34,0.0
47501277,0.0,0.0
47510292,32.12,0.0
47503532,0.0,0.0
47510100,0.0,0.0
47510600,0.0,0.0
47510105,21.96,0.0
47510220,53.84,0.0
47501281,88.6,0.0
47510480,0.0,0.0
47510399,0.0,0.0
47510263,13.12,0.0
47502543,0.0,0.0
47510474,0.0,0.0
47510013,0.0,0.0
47510475,8.05,1.2
47510467,0.0,0.0
47510294,0.0,0.0
47510228,0.0,0.0
47510730,0.0,0.0
47510477,0.0,0.0
47510436,0.0,0.0
47510741,340.59,0.87
47510534,0.0,0.0
47510533,0.0,0.0
47510729,0.0,0.0
47510796,676.37,0.76
47520459,0.0,0.0
47510532,0.0,0.0
47520314,69.91,0.0
47510791,241.95,0.0
47510888,157.77,0.0
47510300,0.0,0.0
47510901,18.15,0.0
47510881,0.0,0.0
47500370,0.0,0.0
47510592,6.1,0.0
47510528,0.0,0.0
47510758,0.0,0.0
47510936,0.0,0.0
47510415,0.0,0.0
47510416,0.0,0.0
47510949,0.0,0.0
47510735,17.69,0.0
47510605,0.0,0.0
47510238,0.0,0.0
47510952,68.25,0.29
47510199,0.0,0.0
47510981,200.5,0.7
47510999,115.42,0.02
47510957,0.0,0.0
47511094,30.83,0.11
47510591,0.0,0.0
47511141,0.0,0.0
47511126,0.0,0.0
47520077,0.0,0.0
47511215,30.38,0.0
47510099,1.13,0.0
47502531,0.0,0.0
47511148,29.56,0.0
47510158,0.0,0.0
47510604,0.0,0.0
47510108,0.0,0.0
47520071,0.0,0.0
47502542,0.0,0.0
47530045,0.0,0.0
47530197,0.0,0.0
47530168,0.0,0.0
47510361,0.0,0.0
47510529,11.53,0.0
47530122,104.34,0.0
47530228,0.0,0.0
47530233,28.14,0.14
47530270,53.45,0.12
47530225,0.0,0.0
47530255,0.0,0.0
47530266,0.0,0.0
47510104,0.0,0.0
47530291,0.0,0.0
47502534,0.0,0.0
47530231,0.0,0.0
47530310,0.0,0.0
47530328,0.0,0.0
47520454,0.0,0.0
47510160,0.0,0.0
47501280,0.0,0.0
47530329,0.0,0.0
47510548,2.73,0.0
47530393,0.0,0.0
47510164,0.0,0.0
47530396,0.0,0.0
47530419,0.0,0.0
47530448,0.0,0.0
47530413,0.34,0.0
47501278,0.0,0.0
47510073,0.0,0.0
47530374,0.0,0.0
47530440,0.0,0.0
47501158,0.0,0.0
47510096,0.0,0.0
47510095,0.0,0.0
47530343,0.0,0.0
47530470,0.0,0.0
47530156,28.96,0.0
47530479,52.96,0.23
47530490,0.0,0.0
47530442,0.0,0.0
47510561,2.08,0.0
47530494,0.0,0.0
47530521,403.98,1.59
47530511,23.15,0.0
47530513,0.0,0.0
47530531,0.0,0.0
47530532,0.0,0.0
47530544,0.0,0.0
47530593,0.0,0.0
47530576,1.03,0.0
47530569,0.0,0.0
47530592,2.35,0.0
47530600,0.0,0.0
47530621,0.0,0.0
47530611,41.6,0.03
47530617,0.0,0.0
47530558,0.0,0.0
47530595,0.0,0.0
47530574,0.0,0.0
47530614,0.0,0.0
47530640,40.04,0.0
47530673,0.0,0.0
47530671,11.9,0.0
47510259,0.27,0.0
47530127,0.0,0.0
47530701,0.0,0.0
47530705,0.0,0.0
47530676,0.0,0.0
47530695,0.0,0.0
47530733,0.0,0.0
47530708,0.0,0.0
47530337,0.0,0.0
47530649,0.0,0.0
47530746,12.18,0.0
47530704,0.0,0.0
47500506,0.0,0.0
47530817,0.0,0.0
47530767,0.0,0.0
47530875,0.0,0.0
47530919,0.0,0.0
47510531,0.0,0.0
47530693,0.0,0.0
47530742,25.2,0.0
47530824,0.0,0.0
47530880,0.0,0.0
47530806,0.0,0.0
47530606,0.0,0.0
47530905,0.0,0.0
47510884,0.0,0.0
47530934,0.0,0.0
47501282,0.0,0.0
47530644,0.0,0.0
47530936,0.0,0.0
47530945,0.0,0.0
47530970,0.0,0.0
47530961,0.0,0.0
47530993,0.0,0.0
47531536,18.41,0.0
47530314,0.0,0.0
47531005,0.0,0.0
47531630,0.0,0.0
47530990,0.0,0.0
47500639,0.0,0.0
47510802,0.0,0.0
47531722,0.0,0.0
47531694,0.0,0.0
47531790,0.0,0.0
47531669,0.66,0.0
47531668,0.0,0.0
47510775,0.0,0.0
47531786,0.0,0.0
47530605,0.0,0.0
47530379,0.34,0.0
47531940,0.0,0.0
47531957,0.0,0.0
47531892,0.0,0.0
47531985,0.0,0.0
47532013,10.21,0.0
47531937,0.0,0.0
47530744,0.0,0.0
47532025,0.0,0.0
47504703,0.0,0.0
47532138,0.0,0.0
47530844,0.0,0.0
47532115,0.0,0.0
47531889,0.0,0.0
47531891,0.0,0.0
47531916,0.0,0.0
47532213,0.0,0.0
47532173,0.0,0.0
47520451,65.3,0.0
47532157,0.0,0.0
47580036,0.0,0.0
47532139,0.0,0.0
47532575,0.0,0.0
47532502,0.0,0.0
47532501,0.0,0.0
47532236,0.0,0.0
47532401,0.0,0.0
47532576,0.0,0.0
47532172,0.0,0.0
47532553,0.0,0.0
47503155,0.0,0.0
47532765,0.0,0.0
47531887,0.0,0.0
47510459,0.0,0.0
47530718,0.0,0.0
47500788,9.57,0.47
47533127,0.0,0.0
47532406,0.0,0.0
47533067,0.0,0.0
47533183,0.0,0.0
47533489,28.1,1.38
47530286,21.58,1.12
47530251,0.0,0.0
47533565,0.0,0.0
47533247,0.0,0.0
47533267,0.0,0.0
47533617,0.0,0.0
47532204,45.48,0.0
47520329,0.0,0.0
47582265,0.0,0.0
47533649,32.21,0.0
47530325,0.0,0.0
47533791,0.0,0.0
47533777,12.92,0.0
47531727,0.0,0.0
47510040,0.0,0.0
47510039,0.0,0.0
47510875,0.0,0.0
47531918,0.0,0.0
47532402,0.0,0.0
47533703,0.0,0.0
47533027,0.0,0.0
47510020,6.34,0.0
47531812,0.0,0.0
47530517,0.0,0.0
47530615,0.0,0.0
47530320,8.23,0.0
47532537,0.0,0.0
47530646,30.31,0.0
47532050,0.0,0.0
47534074,0.0,0.0
47503182,14.77,0.57
47530620,0.0,0.0
47504125,0.0,0.0
47532114,12.98,0.0
47532341,0.0,0.0
47510479,0.0,0.0
47531977,0.0,0.0
47531818,0.0,0.0
47533131,0.0,0.0
47534154,114.76,0.36
47531864,0.0,0.0
47510728,0.0,0.0
47534191,0.0,0.0
47534198,0.0,0.0
47532363,0.0,0.0
47534219,0.0,0.0
47534234,0.0,0.0
31732024,0.0,0.0
47534205,0.0,0.0
47530076,0.0,0.0
47534276,0.0,0.0
47534326,0.0,0.0
47534266,0.0,0.0
47534337,0.0,0.0
47534289,0.0,0.0
47532755,0.0,0.0
47534330,0.0,0.0
47511086,0.0,0.0
47530285,0.0,2.35
47510413,0.0,0.0
47533126,0.0,0.0
47534360,0.0,0.0
47502535,0.0,0.0
47530205,0.0,0.0
47534425,0.0,0.0
47534272,0.0,0.0
47534390,0.0,0.0
47531798,0.0,0.0
47530137,0.0,0.0
47534447,0.0,0.0
47534399,0.0,0.0
47533867,0.0,0.0
47510106,0.0,0.0
47531697,0.0,0.0
47510192,0.0,0.0
47534578,0.0,0.0
47534580,0.0,0.0
47531859,0.0,0.0
47534544,0.0,0.0
47534595,4.14,2.52
47534586,522.12,2.34
47530965,0.0,0.0
47534590,0.0,0.0
47534525,0.0,0.0
47534593,115.64,0.02
47534608,0.0,0.0
47534601,0.0,0.0
47534625,0.0,0.0
47532168,0.0,0.0
47534615,349.93,0.98
47534640,0.61,0.09
47534619,0.0,0.0
47534617,323.76,1.1
47534618,0.0,0.0
47534628,65.73,0.18
47532156,0.0,0.0
47534555,0.0,0.0
47534631,12.92,0.13
47534633,0.0,0.0
47534657,72.98,0.18
47534669,0.0,0.0
47534670,23.68,0.0
47534642,0.0,0.0
47534673,0.0,0.0
47530584,0.0,0.0
47534636,107.15,0.02
47534659,16.23,0.0
47534665,0.0,0.0
47534648,0.0,0.0
47533525,0.0,0.0
47534696,0.0,0.0
47534666,62.24,0.14
47534632,5.31,0.0
47534681,27.99,0.29
47534685,11.07,0.0
47534699,0.33,0.0
47534667,245.99,0.49
47534694,16.2,0.21
47534721,0.0,0.0
47534675,3.88,0.0
47534714,0.0,0.0
47534704,6.25,1.19
47534674,0.0,0.0
47534707,0.0,0.0
47532356,0.0,0.0
47534712,52.21,0.54
47534722,11.08,0.36
47534692,0.0,0.0
47534728,0.0,0.0
47534715,0.0,0.0
47534682,221.89,0.61
47534726,403.17,1.04
47534706,0.0,0.0
47534742,42.93,0.0
47534678,10.08,0.0
47534746,0.0,1.45
47500511,0.0,0.0
47534737,193.49,0.11
47534748,191.17,0.74
47534744,138.81,0.01
47534731,0.0,0.0
47534743,0.0,0.0
47534729,0.0,0.0
47534758,8.7,0.0
47534762,0.0,0.0
47534765,0.0,0.0
47534745,0.0,0.0
47534770,0.0,0.0
47534769,0.0,0.0
47534756,0.0,0.0
47534723,0.0,0.0
47534761,36.09,0.0
47534785,23.53,0.0
47530551,0.0,0.0
47533328,0.0,0.0
47534773,10.81,0.0
47530720,0.0,0.0
47532423,0.0,0.0
47534771,0.81,0.0
47534813,0.0,0.0
47530719,0.0,0.0
47534820,0.0,0.0
47532770,0.0,0.0
47534821,0.0,0.0
47534899,0.0,0.0
47534811,29.87,0.36
47533249,0.0,0.0
47534862,0.0,0.0
47530632,0.0,0.0
47534951,0.0,0.0
47510749,0.0,0.0
47534298,0.0,0.0
47534932,28.09,0.0
47534906,0.3,0.0
47530091,0.0,0.0
47535053,0.0,0.0
47535249,0.0,0.0
47535063,0.0,0.0
47535181,0.0,0.0
47535185,0.0,0.0
47535180,0.0,0.0
47535252,0.0,0.0
47535277,0.0,0.0
47530240,0.0,0.0
47535279,0.0,0.0
47535374,0.0,0.0
47535466,0.0,0.0
47530324,0.0,0.0
47535100,0.0,0.0
47535450,0.0,0.0
47535065,0.0,0.0
47534961,0.0,0.0
47510550,0.0,0.0
47536013,0.0,0.0
47502541,0.0,0.0
47531542,0.0,0.0
47535517,0.0,0.0
47536541,0.0,0.0
47535629,0.0,0.0
47536537,0.0,0.0
47536568,0.17,0.76
47536545,0.0,0.0
47536638,3.15,9.56
47536570,0.03,0.65
47536752,0.0,0.0
47536538,0.0,0.0
47535525,0.0,0.0
47536878,0.0,0.0
47536639,105.9,7.62
47536879,0.0,0.0
47503533,0.0,0.0
