layer_id,api_no,county_fips,county_name,county_role,district,well_no,lease_no,oil_gas,total_depth,completion_date,completion_year,spud_date,spud_year,newest_permit_no,plug_flag,active_flag,lat,lon
wells_permian6,42-227-00002,227,Howard,peer,10,  34,17475,O,,,,,,,Y,,32.108029,-101.337135
wells_permian6,42-227-00003,227,Howard,peer,10, 104,17768,O,1425,1984-01-12,1984,1992-12-15,1992,403789,N,,32.111196,-101.364904
wells_permian6,42-227-00004,227,Howard,peer,10,   2,21331,O,2466,1984-01-12,1984,1998-11-05,1998,,Y,,32.114627,-101.366902
wells_permian6,42-227-00007,227,Howard,peer,10, 301,17768,O,,,,,,,Y,,32.114474,-101.367053
wells_permian6,42-227-00008,227,Howard,peer,10, 302,17768,O,,,,,,,Y,,32.114652,-101.368319
wells_permian6,42-227-00011,227,Howard,peer,10,   1,7107,O,7430,1987-10-20,1987,1995-01-19,1995,,Y,,32.497434,-101.342866
wells_permian6,42-227-00012,227,Howard,peer,10,   1,7108,O,7431,1984-01-12,1984,2023-02-24,2023,,N,,32.504942,-101.342613
wells_permian6,42-227-00013,227,Howard,peer,10,   2,7107,O,7550,1950-11-15,1950,1963-09-17,1963,,N,,32.493627,-101.343123
wells_permian6,42-227-00014,227,Howard,peer,10,   2,7108,O,7439,1984-01-12,1984,2022-03-21,2022,,N,,32.500455,-101.339164
wells_permian6,42-227-00015,227,Howard,peer,10,   3,7107,O,7465,1951-01-06,1951,1963-07-05,1963,,Y,,32.496542,-101.338900
wells_permian6,42-227-00016,227,Howard,peer,10,   3,7108,O,,,,1963-07-05,1963,,Y,,32.503620,-101.339010
wells_permian6,42-227-00017,227,Howard,peer,10,   4,7107,O,7486,1993-03-18,1993,1993-03-26,1993,,N,,32.492640,-101.339545
wells_permian6,42-227-00018,227,Howard,peer,10,   4,7108,O,7483,1952-01-03,1952,1997-07-17,1997,,Y,,32.505281,-101.335508
wells_permian6,42-227-00020,227,Howard,peer,10,,,,2000,,,,,,N,,32.133194,-101.532283
wells_permian6,42-227-00021,227,Howard,peer,10,   2,2675,O,,1984-01-12,1984,,,,Y,,32.102531,-101.335264
wells_permian6,42-227-00022,227,Howard,peer,10,   3,2675,O,3200,1981-09-25,1981,1983-06-06,1983,,N,,32.102372,-101.331290
wells_permian6,42-227-00023,227,Howard,peer,10,   4,2675,O,3190,1929-01-17,1929,1994-01-20,1994,,N,,32.106169,-101.337407
wells_permian6,42-227-00024,227,Howard,peer,00,,,,,,,,,,Y,,32.105959,-101.335123
wells_permian6,42-227-00025,227,Howard,peer,10,   6,2675,O,2950,1929-01-20,1929,2003-01-15,2003,120978,Y,,32.105957,-101.331131
wells_permian6,42-227-00026,227,Howard,peer,10,   7,2675,O,,1984-01-12,1984,,,,Y,,32.104338,-101.335424
wells_permian6,42-227-00027,227,Howard,peer,10,   8W,17475,O,,,,,,,Y,,32.108142,-101.331005
wells_permian6,42-227-00028,227,Howard,peer,10,   9,17475,O,,,,,,,Y,,32.108102,-101.329773
wells_permian6,42-227-00029,227,Howard,peer,10,  10,18983,O,,1962-08-10,1962,1992-01-14,1992,,Y,,32.102252,-101.329189
wells_permian6,42-227-00030,227,Howard,peer,10,  11,17475,O,,1929-07-24,1929,,,,Y,,32.106906,-101.329837
wells_permian6,42-227-00031,227,Howard,peer,10,  12S,17475,O,,,,,,,Y,,32.106859,-101.331199
wells_permian6,42-227-00032,227,Howard,peer,00,  13,18983,O,4000,1929-11-04,1929,1985-02-20,1985,,Y,A,32.105792,-101.332231
wells_permian6,42-227-00033,227,Howard,peer,10,  14,2675,O,,1930-03-19,1930,,,,Y,,32.104552,-101.333594
wells_permian6,42-227-00034,227,Howard,peer,10,  18,17475,O,2750,1955-10-27,1955,2007-10-30,2007,528179,N,,32.107995,-101.339471
wells_permian6,42-227-00035,227,Howard,peer,10,  29W,17475,O,1415,1962-05-19,1962,1992-01-02,1992,,Y,,32.105858,-101.328933
wells_permian6,42-227-00036,227,Howard,peer,10,  30,17475,O,1415,1962-05-19,1962,1992-01-02,1992,,Y,,32.104732,-101.335530
wells_permian6,42-227-00037,227,Howard,peer,10,  31,17475,O,,1962-08-20,1962,,,,Y,,32.104270,-101.332907
wells_permian6,42-227-00038,227,Howard,peer,10,  32,2675,O,,,,,,,Y,,32.102418,-101.333282
wells_permian6,42-227-00039,227,Howard,peer,10,  33,2675,O,,,,,,,Y,,32.102282,-101.329413
wells_permian6,42-227-00040,227,Howard,peer,00,,,,,,,,,886276,N,,32.513893,-101.274305
wells_permian6,42-227-00042,227,Howard,peer,10, 102W,17768,O,,,,,,,Y,,32.106876,-101.364031
wells_permian6,42-227-00043,227,Howard,peer,10, 103,17768,O,,,,,,,Y,,32.109387,-101.365163
wells_permian6,42-227-00044,227,Howard,peer,10, 105,17768,O,1428,1984-01-12,1984,1993-06-30,1993,408034,Y,,32.109350,-101.367444
wells_permian6,42-227-00045,227,Howard,peer,10, 106,17768,O,1430,1984-01-12,1984,1993-05-03,1993,408784,Y,,32.111267,-101.367197
