agreement_id,agmt_type,taxing_unit,govt_name,govt_type,applicant,county,commissioned,abatement_status,reinvestment_zone,property_value,detail_url,lat,lon,coords_source
000003650,abatement,Greenville City,Greenville,City,CYTEC Engineered Materials,Hunt,2018-03-20,Expired,4300 Jackson Street Reinvestment Zone,51887079,https://comptroller.texas.gov/economy/development/search-tools/ch312/abatements-details.php?id=000003650,33.123246,-96.079482,ldad_county_centroid
000003651,abatement,Chambers County,Chambers,County,Covestro LLC,Chambers,2016-04-26,Active,Air Products Reinvestment Zone,1244600,https://comptroller.texas.gov/economy/development/search-tools/ch312/abatements-details.php?id=000003651,29.692991,-94.638378,ldad_county_centroid
000003652,abatement,Andrews County,Andrews,County,2W Permian Solar LLC,Andrews,2019-07-22,Active,Andrews County 2W Permian Solar Reinvestment Zone,,https://comptroller.texas.gov/economy/development/search-tools/ch312/abatements-details.php?id=000003652,32.305245,-102.637905,ldad_county_centroid
000003653,abatement,Andrews County,Andrews,County,Jumbo Hill Wind Project LLC,Andrews,2019-03-11,Active,Andrews County Jumbo Hill Reinvestment Zone,,https://comptroller.texas.gov/economy/development/search-tools/ch312/abatements-details.php?id=000003653,32.305245,-102.637905,ldad_county_centroid
000003654,abatement,Andrews County,Andrews,County,Prospero Solar II LLC,Andrews,2020-02-18,Active,Andrews County Longhorn Reinvestment Zone,,https://comptroller.texas.gov/economy/development/search-tools/ch312/abatements-details.php?id=000003654,32.305245,-102.637905,ldad_county_centroid
000003655,abatement,Andrews County,Andrews,County,Lapetus Energy Project LLC,Andrews,2017-11-27,Active,Andrews County Permian Solar Reinvestment Zone,,https://comptroller.texas.gov/economy/development/search-tools/ch312/abatements-details.php?id=000003655,32.305245,-102.637905,ldad_county_centroid
000003656,abatement,Bailey County,Bailey,County,Blue Cloud Renewable Energy Project LLC,Bailey,2014-12-22,Expired,Bailey County Reinvestment Zone 2014-01,,https://comptroller.texas.gov/economy/development/search-tools/ch312/abatements-details.php?id=000003656,34.068137,-102.829576,ldad_county_centroid
000003657,abatement,Bastrop County,Bastrop,County,Big Star Solar LLC,Bastrop,2021-09-02,Active,Bastrop County Precinct 2 Reinvestment Zone,2652924,https://comptroller.texas.gov/economy/development/search-tools/ch312/abatements-details.php?id=000003657,30.103164,-97.324432,ldad_county_centroid
000003658,abatement,Bee County,Bee,County,Karankawa Wind Farm,Bee,2017-11-13,Active,Bee County Wind Reinvestment Zone,,https://comptroller.texas.gov/economy/development/search-tools/ch312/abatements-details.php?id=000003658,28.424661,-97.709933,ldad_county_centroid
000003659,abatement,Bexar County,Bexar,County,Brack Hill Investors LLC,Bexar,2012-12-18,Expired,Bexar County Brack Hill Reinvestment Zone,,https://comptroller.texas.gov/economy/development/search-tools/ch312/abatements-details.php?id=000003659,29.438375,-98.471953,ldad_county_centroid
000003660,abatement,Bexar County,Bexar,County,Mission Solar Energy LLC (previously Nexolon),Bexar,2013-09-17,Expired,Bexar County Brooks City-Base Reinvestment Zone,,https://comptroller.texas.gov/economy/development/search-tools/ch312/abatements-details.php?id=000003660,29.438375,-98.471953,ldad_county_centroid
000003661,abatement,Bexar County,Bexar,County,Enduraplas LLC,Bexar,2014-12-16,Expired,Bexar County Enduraplas Reinvestment Zone,,https://comptroller.texas.gov/economy/development/search-tools/ch312/abatements-details.php?id=000003661,29.438375,-98.471953,ldad_county_centroid
000003662,abatement,Bexar County,Bexar,County,Indo-U.S. MIM Tec Pvt Ltd,Bexar,2016-07-12,Active,Bexar County INDO Reinvestment Zone,,https://comptroller.texas.gov/economy/development/search-tools/ch312/abatements-details.php?id=000003662,29.438375,-98.471953,ldad_county_centroid
000003663,abatement,Bexar County,Bexar,County,Bexar County & SMBC Leasing Finance Inc & FMC Tech,Bexar,2014-12-16,Expired,Bexar County Reinvestment Zone,4441360,https://comptroller.texas.gov/economy/development/search-tools/ch312/abatements-details.php?id=000003663,29.438375,-98.471953,ldad_county_centroid
000003664,abatement,Bexar County,Bexar,County,CRP-GREP Elan Riverwalk Owner LP,Bexar,2014-06-24,Active,Bexar County Reinvestment Zone,,https://comptroller.texas.gov/economy/development/search-tools/ch312/abatements-details.php?id=000003664,29.438375,-98.471953,ldad_county_centroid
000003665,abatement,Bexar County,Bexar,County,Hulu LLC,Bexar,2017-06-20,Active,Bexar County Reinvestment Zone,,https://comptroller.texas.gov/economy/development/search-tools/ch312/abatements-details.php?id=000003665,29.438375,-98.471953,ldad_county_centroid
000003666,abatement,Bexar County,Bexar,County,Bexar County& CRP-GREP Elan Riverwalk Owner LP,Bexar,2014-06-24,Expired,Bexar County Reinvestment Zone #11,9024780,https://comptroller.texas.gov/economy/development/search-tools/ch312/abatements-details.php?id=000003666,29.438375,-98.471953,ldad_county_centroid
