layer_id,lat,lon,name,plant_code,county,technology,capacity,sector,inr,fuel,mw,zone,poi,entity,funnel_stage,group,under_construction,commissioned,capacity_mw,operator,voltage,osm_id,depth_ft,use,aquifer,project,manu,model,cap_kw,year
eia860_battery,32.403056,-97.700556,DeCordova Steam Electric Station,8063,HOOD,LIB,269.1,,,,,,,,,,,2022,269.1,Luminant Generation Company LLC,,,,,,,,,,
eia860_battery,31.995,-102.828333,Notrees Windpower Hybrid,56961,ECTOR,LIB,36.0,,,,,,,,,,,2012,36.0,Duke Energy Renewables Services,,,,,,,,,,
eia860_battery,32.5886,-100.6728,Pyron Wind Farm LLC Hybrid,56981,FISHER,LIB,9.9,,,,,,,,,,,2018,9.9,"Big Sky Wind, LLC",,,,,,,,,,
eia860_battery,32.4969,-100.5797,Inadale Wind Farm LLC Hybrid,56984,NOLAN,LIB,9.9,,,,,,,,,,,2018,9.9,"Big Sky Wind, LLC",,,,,,,,,,
eia860_battery,26.195278,-97.466111,Cameron Wind 1 LLC,59118,CAMERON,LIB,16.4,,,,,,,,,,,2024,16.4,Cameron Wind 1 LLC,,,,,,,,,,
eia860_battery,31.255,-102.272,Castle Gap Solar Hybrid,60123,UPTON,LIB,9.9,,,,,,,,,,,2019,9.9,Upton County Solar 2 LLC,,,,,,,,,,
eia860_battery,30.587828,-97.687023,Rabbit Hill Energy Storage Project,60649,WILLIAMSON,LIB,9.9,,,,,,,,,,,2020,9.9,Rabbit Hill Energy Storage Project,,,,,,,,,,
eia860_battery,34.299,-99.399,"Blue Summit Storage, LLC",60690,WILBARGER,LIB,30.0,,,,,,,,,,,2017,30.0,"Blue Summit Storage, LLC",,,,,,,,,,
eia860_battery,30.266028,-97.686139,Kingsberry Energy Storage System,61741,TRAVIS,LIB,1.5,,,,,,,,,,,2018,1.5,Austin Energy,,,,,,,,,,
eia860_battery,31.219444,-102.19222,"Roadrunner, LLC Hybrid",62561,UPTON,LIB,63.3,,,,,,,,,,,2023,63.3,"Roadrunner Solar, LLC",,,,,,,,,,
eia860_battery,31.171652,-101.881147,"High Lonesome Wind Power, LLC Hybrid",62562,UPTON,LIB,63.3,,,,,,,,,,,2023,63.3,"High Lonesome Wind Power, LLC",,,,,,,,,,
eia860_battery,29.43445,-98.61765,Commerce ESS,62609,BEXAR,LIB,10.0,,,,,,,,,,,2019,10.0,City of San Antonio - (TX),,,,,,,,,,
eia860_battery,29.149166,-95.651111,Prospect Storage,62753,BRAZORIA,LIB,9.9,,,,,,,,,,,2020,9.9,GlidePath Power Operations LLC,,,,,,,,,,
