layer_id,lat,lon,name,plant_code,county,technology,capacity,sector,inr,fuel,mw,zone,poi,entity,funnel_stage,group,under_construction,commissioned,capacity_mw,operator,voltage,osm_id,depth_ft,use,aquifer,project,manu,model,cap_kw,year
wind,35.41039,-101.21379,,,CARSON COUNTY,,,,,,,,,,,,,2014,1.85,,,,,,,Panhandle Wind 1,GE Wind,GE1.85-87,1850.0,2014
wind,32.2142,-101.4083,,,HOWARD COUNTY,,,,,,,,,,,,,1999,0.66,,,,,,,Big Spring I,Vestas,V47-0.66,660.0,1999
wind,32.1689,-101.36269,,,HOWARD COUNTY,,,,,,,,,,,,,1999,0.66,,,,,,,Big Spring I,Vestas,V47-0.66,660.0,1999
wind,35.38645,-101.23734,,,CARSON COUNTY,,,,,,,,,,,,,2014,1.85,,,,,,,Panhandle Wind 1,GE Wind,GE1.85-87,1850.0,2014
wind,36.1974,-101.20869,,,HANSFORD COUNTY,,,,,,,,,,,,,2013,,,,,,,,unknown Hansford County,,,,2013
wind,35.40625,-101.30164,,,CARSON COUNTY,,,,,,,,,,,,,2014,1.85,,,,,,,Panhandle Wind 1,GE Wind,GE1.85-87,1850.0,2014
wind,35.4218,-101.27649,,,CARSON COUNTY,,,,,,,,,,,,,2014,1.85,,,,,,,Panhandle Wind 1,GE Wind,GE1.85-87,1850.0,2014
wind,35.4125,-101.24519,,,CARSON COUNTY,,,,,,,,,,,,,2014,1.85,,,,,,,Panhandle Wind 1,GE Wind,GE1.85-87,1850.0,2014
wind,33.74749,-101.4622,,,CROSBY COUNTY,,,,,,,,,,,,,2015,1.8,,,,,,,Pleasant Hill,Sany,SE10020E,1800.0,2015
wind,35.42749,-101.25839,,,CARSON COUNTY,,,,,,,,,,,,,2014,1.85,,,,,,,Panhandle Wind 1,GE Wind,GE1.85-87,1850.0,2014
wind,32.1777,-101.36759,,,HOWARD COUNTY,,,,,,,,,,,,,1999,0.66,,,,,,,Big Spring I,Vestas,V47-0.66,660.0,1999
wind,32.2154,-101.41789,,,HOWARD COUNTY,,,,,,,,,,,,,1999,0.66,,,,,,,Big Spring I,Vestas,V47-0.66,660.0,1999
wind,32.1759,-101.35889,,,HOWARD COUNTY,,,,,,,,,,,,,1999,0.66,,,,,,,Big Spring I,Vestas,V47-0.66,660.0,1999
wind,35.40135,-101.22266,,,CARSON COUNTY,,,,,,,,,,,,,2014,1.85,,,,,,,Panhandle Wind 1,GE Wind,GE1.85-87,1850.0,2014
wind,35.4245,-101.22039,,,CARSON COUNTY,,,,,,,,,,,,,2014,1.85,,,,,,,Panhandle Wind 1,GE Wind,GE1.85-87,1850.0,2014
wind,35.44519,-101.29149,,,CARSON COUNTY,,,,,,,,,,,,,2014,1.85,,,,,,,Panhandle Wind 1,GE Wind,GE1.85-87,1850.0,2014
