Account,Parcel_ID,Owner,Category,Acres,Legal,Mailing,Market_Value,Net_Taxable_Value
00707-01018-00100-000000,14212,OXY USA INC,D1,479.6400,5064  C-3 PSL   SEC 18,"P O BOX 27570 HOUSTON, TX 77046",257580,202100
00707-01007-00103-000000,14202,OXY USA INC,D1,130.7500,5063  C-3 PSL   SEC 7 NE PT,"P O BOX 27570 HOUSTON, TX 77046",89250,81280
00003-04092-00100-000000,4260,OCCIDENTAL WEST TEXAS OVERTHRUST INC,D1,640.5000,6943  3 CCSD & RGNG SEC 92,"5 GREENWAY PLAZA  STE 110 HOUSTON, TX 77046",60690,6340
00003-04023-00100-000000,4192,OCCIDENTAL WEST TEXAS OVERTHRUST INC,D1,640.0000,2362  3 CCSD & RGNG SEC 23,"5 GREENWAY PLAZA  STE 110 HOUSTON, TX 77046",59040,6310
00003-04037-00100-000000,4194,OCCIDENTAL WEST TEXAS OVERTHRUST INC,D1,640.0000,2398  3 CCSD & RGNG SEC 37,"5 GREENWAY PLAZA  STE 110 HOUSTON, TX 77046",58760,6470
00003-04050-00100-000000,4225,OCCIDENTAL WEST TEXAS OVERTHRUST INC,D1,640.0000,7286  3 CCSD & RGNG SEC 50,"5 GREENWAY PLAZA  STE 110 HOUSTON, TX 77046",58760,6470
00003-04036-00100-000000,4193,OCCIDENTAL WEST TEXAS OVERTHRUST INC,D1,640.0000,7281  3 CCSD & RGNG SEC 36,"5 GREENWAY PLAZA  STE 110 HOUSTON, TX 77046",57630,6140
00003-04022-00100-000000,4191,OCCIDENTAL WEST TEXAS OVERTHRUST INC,D1,640.0000,7523  3 CCSD & RGNG SEC 22,"5 GREENWAY PLAZA  STE 110 HOUSTON, TX 77046",55760,6060
00003-04051-00100-000000,4226,OCCIDENTAL WEST TEXAS OVERTHRUST INC,D1,640.0000,2405  3 CCSD & RGNG SEC 51,"5 GREENWAY PLAZA  STE 110 HOUSTON, TX 77046",55760,6060
00003-04121-00100-000000,4280,OCCIDENTAL WEST TEXAS OVERTHRUST INC,D1,641.5000,2513  3 CCSD & RGNG SEC 121,"5 GREENWAY PLAZA  STE 110 HOUSTON, TX 77046",55580,5610
00003-04079-00100-000000,4259,OCCIDENTAL WEST TEXAS OVERTHRUST INC,D1,640.5000,2423  3 CCSD & RGNG SEC 79,"5 GREENWAY PLAZA  STE 110 HOUSTON, TX 77046",54830,5290
00003-04064-00100-000000,4227,OCCIDENTAL WEST TEXAS OVERTHRUST INC,D1,640.0000,7522  3 CCSD & RGNG SEC 64,"5 GREENWAY PLAZA  STE 110 HOUSTON, TX 77046",54560,5780
00003-04078-00100-000000,4258,OCCIDENTAL WEST TEXAS OVERTHRUST INC,D1,640.5000,5664  3 CCSD & RGNG SEC 78,"5 GREENWAY PLAZA  STE 110 HOUSTON, TX 77046",52200,4950
00003-04120-00100-000000,4279,OCCIDENTAL WEST TEXAS OVERTHRUST INC,D1,641.5000,6261  3 CCSD & RGNG SEC 120,"5 GREENWAY PLAZA  STE 110 HOUSTON, TX 77046",51480,5310
00003-04009-00200-000000,4163,OCCIDENTAL WEST TEXAS OVERTHRUST INC,D1,622.7000,2345  3 CCSD & RGNG SEC 9,"5 GREENWAY PLAZA  STE 110 HOUSTON, TX 77046",51250,5270
00003-04106-00100-000000,4277,OCCIDENTAL WEST TEXAS OVERTHRUST INC,D1,640.5000,5669  3 CCSD & RGNG SEC 106,"5 GREENWAY PLAZA  STE 110 HOUSTON, TX 77046",51070,5240
