rig_id,as_of,low_usd_m,high_usd_m,basis,source
clear_leader,2025-03,64.0,75.0,"Esgian assessed, cold-stacked; non-drilling sale ~30% below",trade press (Offshore Eng/Marine Link)
americas,2025-03,64.0,75.0,Esgian assessed,trade press
inspiration,2025-03,64.0,75.0,Esgian assessed,trade press
champion,2025-03,144.0,159.0,Esgian assessed,trade press
mylos,2026-01,119.0,134.0,Esgian assessed (reduced),Offshore Magazine
athena,2026-01,119.0,134.0,Esgian assessed,Offshore Magazine
apollo,2026-01,119.0,134.0,Esgian assessed,Offshore Magazine
ds11,2025-03,171.0,189.0,Esgian assessed,trade press
ds13,2023-12,,,"acquired in $337M aggregate pair (DS-13 ~$119M final pmt, DS-14 ~$218M)",Valaris disclosure
ds14,2023-12,,,see DS-13 row,Valaris disclosure
